instrument,ema_session_definition,ema_span,approach_side,time_stratum,horizon_bars,barrier_atr,eligible_armed_excursions,touch_events,touch_rate,same_bar_rejection_count,same_bar_breakthrough_count,same_bar_neutral_count,same_bar_rejection_rate,same_bar_breakthrough_rate,same_bar_rej_minus_brk,same_bar_binom_p,median_signed_close_atr,median_rejection_exc_atr,median_breakthrough_exc_atr,median_dominance,p_rejection_exc_gt_breakthrough_exc,p_breakthrough_exc_gt_rejection_exc,post_touch_retouch_rate,barrier_rejection_first_n,barrier_breakthrough_first_n,barrier_tie_n,barrier_neither_n,barrier_rejection_first_rate,barrier_breakthrough_first_rate,barrier_tie_rate,barrier_neither_rate,barrier_rej_minus_brk_first_rate,barrier_nontied_n,barrier_binom_p,sample_status
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,5,0.5,581,539,0.927710843373494,276,263,0,0.5120593692022264,0.48794063079777367,0.02411873840445269,0.6052833456322324,0.15680669735431568,1.6379993653899874,1.589630578932511,0.010462623233982551,0.5046382189239332,0.49536178107606677,0.8701298701298701,203,203,133,0,0.37662337662337664,0.37662337662337664,0.24675324675324675,0.0,0.0,406,1.0,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,OPEN,5,1.0,581,539,0.927710843373494,276,263,0,0.5120593692022264,0.48794063079777367,0.02411873840445269,0.6052833456322324,0.15680669735431568,1.6379993653899874,1.589630578932511,0.010462623233982551,0.5046382189239332,0.49536178107606677,0.8701298701298701,253,245,32,9,0.46938775510204084,0.45454545454545453,0.059369202226345084,0.016697588126159554,0.014842300556586308,498,0.7538020538699467,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,5,0.5,759,720,0.9486166007905138,369,351,0,0.5125,0.4875,0.025,0.5264015992635039,0.11590573842935932,0.8633314690567562,0.7926314122618969,0.030783101000415255,0.5152777777777777,0.4847222222222222,0.8805555555555555,366,319,34,1,0.5083333333333333,0.44305555555555554,0.04722222222222222,0.001388888888888889,0.06527777777777777,685,0.07874466335600845,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MID_MORNING,5,1.0,759,720,0.9486166007905138,369,351,0,0.5125,0.4875,0.025,0.5264015992635039,0.11590573842935932,0.8633314690567562,0.7926314122618969,0.030783101000415255,0.5152777777777777,0.4847222222222222,0.8805555555555555,299,282,1,138,0.4152777777777778,0.39166666666666666,0.001388888888888889,0.19166666666666668,0.023611111111111138,581,0.5068577868589822,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,5,0.5,1003,1042,1.0388833499501495,552,490,0,0.5297504798464492,0.47024952015355087,0.05950095969289827,0.058744261792009846,0.039622008227093684,0.9254182049341253,0.8177052849272024,0.07387888291768836,0.536468330134357,0.463531669865643,0.9203454894433781,543,454,42,3,0.5211132437619962,0.43570057581573896,0.04030710172744722,0.0028790786948176585,0.08541266794625724,997,0.005294151717741429,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,MIDDAY,5,1.0,1003,1042,1.0388833499501495,552,490,0,0.5297504798464492,0.47024952015355087,0.05950095969289827,0.058744261792009846,0.039622008227093684,0.9254182049341253,0.8177052849272024,0.07387888291768836,0.536468330134357,0.463531669865643,0.9203454894433781,445,397,8,192,0.42706333973128596,0.3809980806142035,0.007677543186180422,0.18426103646833014,0.04606525911708248,842,0.10523500409514977,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,5,0.5,1028,1143,1.1118677042801557,570,573,0,0.49868766404199477,0.5013123359580053,-0.0026246719160104987,0.9528304060286215,0.14056214121129504,1.1615354283581532,1.0685069614798217,0.06481823524760932,0.5240594925634295,0.4759405074365704,0.8827646544181977,533,491,118,1,0.4663167104111986,0.42957130358705164,0.10323709536307961,0.0008748906386701663,0.03674540682414695,1024,0.200082409809531,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,AFTERNOON,5,1.0,1028,1143,1.1118677042801557,570,573,0,0.49868766404199477,0.5013123359580053,-0.0026246719160104987,0.9528304060286215,0.14056214121129504,1.1615354283581532,1.0685069614798217,0.06481823524760932,0.5240594925634295,0.4759405074365704,0.8827646544181977,548,508,9,78,0.4794400699912511,0.4444444444444444,0.007874015748031496,0.06824146981627296,0.034995625546806686,1056,0.23006802393906012,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,5,0.5,11814,3444,0.2915185373285932,1767,1677,0,0.5130662020905923,0.48693379790940766,0.02613240418118467,0.1293667847299884,0.10795954022340395,1.044932183725213,0.9723622899733229,0.05310779748038712,0.522938443670151,0.47706155632984903,0.8916957026713124,1645,1467,327,5,0.47764227642276424,0.4259581881533101,0.09494773519163763,0.0014518002322880372,0.05168408826945414,3112,0.001505351006502481,OK
ES,FULL_SESSION_EMA,20,FROM_ABOVE,ALL_RTH,5,1.0,11814,3444,0.2915185373285932,1767,1677,0,0.5130662020905923,0.48693379790940766,0.02613240418118467,0.1293667847299884,0.10795954022340395,1.044932183725213,0.9723622899733229,0.05310779748038712,0.522938443670151,0.47706155632984903,0.8916957026713124,1545,1432,50,417,0.44860627177700346,0.41579558652729387,0.014518002322880372,0.1210801393728223,0.03281068524970959,2977,0.0400823260849973,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,5,0.5,524,532,1.015267175572519,263,269,0,0.4943609022556391,0.5056390977443609,-0.011278195488721804,0.8284070452667405,0.10994402686683472,1.580762765441703,1.3542149523333797,0.10552259311649846,0.5413533834586466,0.45864661654135336,0.8872180451127819,202,201,129,0,0.37969924812030076,0.37781954887218044,0.2424812030075188,0.0,0.0018796992481203145,403,1.0,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,OPEN,5,1.0,524,532,1.015267175572519,263,269,0,0.4943609022556391,0.5056390977443609,-0.011278195488721804,0.8284070452667405,0.10994402686683472,1.580762765441703,1.3542149523333797,0.10552259311649846,0.5413533834586466,0.45864661654135336,0.8872180451127819,256,232,31,13,0.48120300751879697,0.43609022556390975,0.05827067669172932,0.02443609022556391,0.045112781954887216,488,0.29779407709172645,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,5,0.5,647,660,1.0200927357032457,368,292,0,0.5575757575757576,0.44242424242424244,0.11515151515151516,0.0034761661916115363,-0.07973213576816696,0.850461544137737,0.7242504004211584,0.025800240651725113,0.5106060606060606,0.4893939393939394,0.8924242424242425,350,282,24,4,0.5303030303030303,0.42727272727272725,0.03636363636363636,0.006060606060606061,0.10303030303030303,632,0.007647023197761616,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,MID_MORNING,5,1.0,647,660,1.0200927357032457,368,292,0,0.5575757575757576,0.44242424242424244,0.11515151515151516,0.0034761661916115363,-0.07973213576816696,0.850461544137737,0.7242504004211584,0.025800240651725113,0.5106060606060606,0.4893939393939394,0.8924242424242425,266,231,0,163,0.403030303030303,0.35,0.0,0.24696969696969698,0.05303030303030304,497,0.12714752144876432,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,5,0.5,836,875,1.0466507177033493,433,442,0,0.4948571428571429,0.5051428571428571,-0.010285714285714285,0.7868329660278763,-0.11148929292210683,0.7921589434145523,0.8304845621212493,-0.03113312263940319,0.4845714285714286,0.5154285714285715,0.9005714285714286,404,436,35,0,0.4617142857142857,0.4982857142857143,0.04,0.0,-0.03657142857142859,840,0.2847918536868596,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,MIDDAY,5,1.0,836,875,1.0466507177033493,433,442,0,0.4948571428571429,0.5051428571428571,-0.010285714285714285,0.7868329660278763,-0.11148929292210683,0.7921589434145523,0.8304845621212493,-0.03113312263940319,0.4845714285714286,0.5154285714285715,0.9005714285714286,346,334,2,193,0.3954285714285714,0.38171428571428573,0.002285714285714286,0.22057142857142858,0.013714285714285679,680,0.6731796653887555,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,5,0.5,883,915,1.0362400906002265,475,440,0,0.5191256830601093,0.4808743169398907,0.03825136612021858,0.2609993819359138,-0.09179162416909424,1.1093556780349174,1.0344931118502367,0.011564229023206309,0.5016393442622951,0.49836065573770494,0.8765027322404372,425,387,101,2,0.4644808743169399,0.42295081967213116,0.11038251366120219,0.002185792349726776,0.041530054644808745,812,0.1941029638638442,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,AFTERNOON,5,1.0,883,915,1.0362400906002265,475,440,0,0.5191256830601093,0.4808743169398907,0.03825136612021858,0.2609993819359138,-0.09179162416909424,1.1093556780349174,1.0344931118502367,0.011564229023206309,0.5016393442622951,0.49836065573770494,0.8765027322404372,429,386,12,88,0.46885245901639344,0.42185792349726775,0.013114754098360656,0.09617486338797815,0.04699453551912569,815,0.14119082573887534,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,5,0.5,10545,2982,0.28278805120910383,1539,1443,0,0.5160965794768612,0.48390342052313884,0.03219315895372234,0.0818976202002365,-0.07465061602735511,0.9909610563982558,0.9339543291487222,0.01626299792538682,0.505700871898055,0.494299128101945,0.8890006706908116,1381,1306,289,6,0.4631120053655265,0.4379610999329309,0.09691482226693494,0.002012072434607646,0.02515090543259557,2687,0.15340198232364635,OK
ES,FULL_SESSION_EMA,20,FROM_BELOW,ALL_RTH,5,1.0,10545,2982,0.28278805120910383,1539,1443,0,0.5160965794768612,0.48390342052313884,0.03219315895372234,0.0818976202002365,-0.07465061602735511,0.9909610563982558,0.9339543291487222,0.01626299792538682,0.505700871898055,0.494299128101945,0.8890006706908116,1297,1183,45,457,0.43494299128101943,0.3967136150234742,0.015090543259557344,0.15325285043594902,0.038229376257545244,2480,0.023243334998076133,OK
ES,FULL_SESSION_EMA,21,FROM_ABOVE,OPEN,5,0.5,581,541,0.9311531841652324,284,257,0,0.5249537892791127,0.47504621072088726,0.04990757855822551,0.2636225592861483,0.14788149030258257,1.6593718924274887,1.601795540084803,0.007289465870599088,0.5027726432532348,0.49722735674676527,0.8650646950092421,209,203,129,0,0.38632162661737524,0.3752310536044362,0.23844731977818853,0.0,0.011090573012939031,412,0.805461353876563,OK
