instrument,level_id,classification,direction,anchor_activation_window,anchor_horizon,n_qualifying_cells
ES,LOWER_k0,MIXED_OR_NULL,,,,0
ES,LOWER_k1,MIXED_OR_NULL,,,,0
ES,LOWER_k2,MIXED_OR_NULL,,,,0
ES,LOWER_k3,MIXED_OR_NULL,,,,0
ES,UPPER_k0,MIXED_OR_NULL,,,,0
ES,UPPER_k1,MIXED_OR_NULL,,,,0
ES,UPPER_k2,MIXED_OR_NULL,,,,0
ES,UPPER_k3,MIXED_OR_NULL,,,,0
NQ,LOWER_k0,MIXED_OR_NULL,,,,0
NQ,LOWER_k1,ISOLATED_SIGNIFICANT_CELL,reversal,1.0,1.0,6
NQ,LOWER_k2,MIXED_OR_NULL,,,,0
NQ,LOWER_k3,MIXED_OR_NULL,,,,0
NQ,UPPER_k0,COHERENT_OPEN_CONTINUATION,continuation,2.0,2.0,104
NQ,UPPER_k1,COHERENT_OPEN_CONTINUATION,continuation,2.0,1.0,14
NQ,UPPER_k2,COHERENT_OPEN_CONTINUATION,continuation,5.0,2.0,20
NQ,UPPER_k3,MIXED_OR_NULL,,,,0
